39.401,39.005,39.3,39.501,40.025,41.04,41.943,42.799,43.863,44.384,42.931,41.647,42.102,42.783,42.996,43.406,44.546,43.923,40.976,39.519,39.434,40.285,41.19,43.027,44.731,43.204,41.608,41.741,42.251,43.592,43.529,40.392,39.646,40.835,40.458,39.576,39.912,40.275,40.986,41.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.55,38.754,38.423,38.725,39.417,40.18,40.952,41.853,43.71,44.792,43.091,41.58,41.518,41.685,41.998,42.536,43.524,43.354,41.762,40.742,40.23,41.224,42.321,43.645,44.807,43.559,42.341,42.206,42.004,41.693,41.817,41.065,40.642,41.354,40.599,39.132,39.646,40.537,40.018,40.106,39.93,40.018,42.965,43.824,40.018,37.768,37.908,37.455,36.379,36.288,36.618,35.698,34.521,35.761,37.639,36.7,0,0,0,0,0,0,0,0,0
39.643,39.21,38.918,38.9,40.466,41.767,41.44,41.65,43.792,45.16,43.402,41.992,41.998,42.04,42.158,42.482,43.042,43.184,42.776,41.878,41.055,42.356,43.469,43.837,44.165,42.939,42.158,42.67,42.035,39.736,39.974,41.849,42.139,42.038,41.361,40.174,40.183,40.733,39.334,37.985,39.622,40.685,41.327,41.07,38.948,38.07,38.622,38.693,38.434,39.735,41.628,40.98,39.135,38.297,38.398,37.858,36.883,36.513,36.293,35.613,34.966,35.02,34.741,0,0
40.138,39.858,39.496,39.036,41.909,44.137,42.922,42.418,43.805,45.03,44.635,43.457,42.703,42.508,42.462,42.584,42.861,43.539,43.996,43.402,42.702,43.087,43.795,43.709,43.305,41.892,41.417,43.187,43.606,42.014,41.509,42.934,43.249,42.611,42.166,41.5,41.066,40.945,39.621,38.414,39.871,40.914,40.861,40.485,39.651,39.477,39.978,40.013,39.798,43.234,47.913,45.711,41.501,39.791,38.623,38.215,37.831,37.231,36.816,36.768,36.419,36.127,35.895,34.619,0
40.871,40.72,40.691,40.57,42.762,44.965,43.735,42.94,43.76,45.136,46.648,45.83,43.689,42.96,42.896,43.064,43.156,44.052,45.127,44.893,44.214,43.19,43.023,43.284,42.945,41.583,41.276,43.651,45.033,44.319,43.781,44.088,43.808,42.954,43.137,43.382,42.593,41.708,40.214,38.915,40.05,40.931,40.946,41.026,41.129,41.272,41.514,41.287,41.056,47.262,55.093,50.106,41.513,39.518,39.116,39.011,38.871,38.308,37.647,37.621,37.6,36.996,36.866,36.096,0
41.611,41.598,41.929,42.188,43.127,44.206,43.633,43.438,44.277,45.416,47.548,47.377,44.386,43.393,43.388,43.918,44.369,44.12,44.534,45.439,45.288,43.575,42.536,42.933,42.762,41.644,41.566,43.614,44.828,44.481,44.449,44.665,44.164,43.235,44.126,45.428,44.504,43.125,41.644,40.334,40.549,41.114,41.835,42.292,42.609,42.993,43.329,42.828,42.661,50.15,58.626,51.72,41.292,39.538,39.749,39.905,39.948,39.739,38.926,37.832,37.863,37.74,37.74,37.253,33.627
42.297,41.798,42.055,42.586,43.426,43.857,43.671,44.004,44.979,45.326,45.789,45.805,44.701,44.131,44.029,44.836,45.364,43.982,43.804,45.707,46.485,45.943,44.644,43.67,42.992,42.032,42.038,43.707,44.581,44.078,44.081,44.516,44.065,43.081,43.922,45.64,45.661,44.593,43.094,41.723,41.061,41.443,43.105,43.834,43.987,44.729,45.481,44.69,44.389,50.05,55.464,50.007,42.901,40.703,40.151,40.875,41.134,41.199,39.897,37.72,37.942,38.618,38.63,38.377,34.784
42.878,41.975,42.017,42.484,43.931,44.499,43.908,44.168,45.186,44.939,43.995,44.645,45.24,44.947,44.779,45.898,46.508,45.146,44.433,45.947,47.796,48.45,46.749,44.584,43.559,42.958,43.196,44.677,45.115,44.112,43.805,44.294,43.935,42.825,43.33,44.613,45.779,46.235,44.957,43.595,42.771,42.657,43.889,44.714,45.066,46.191,47.286,46.322,45.828,49.049,51.773,49.058,45.05,41.595,40.369,42.077,42.528,42.179,40.586,37.798,38.144,39.645,39.521,39.287,36.583
43.185,42.912,42.517,42.611,44.249,45.03,44.057,44.065,44.877,44.51,43.656,44.186,45.129,45.239,45.316,46.832,47.823,46.936,45.933,45.694,46.955,48.701,47.518,44.966,43.933,43.738,44.327,45.841,46.012,44.551,43.692,43.517,43.923,44.045,43.878,44.159,45.852,47.517,46.645,45.509,44.824,44.224,44.119,44.737,45.483,46.29,46.909,45.815,45.685,48.71,50.515,49.428,46.608,41.822,40.902,43.453,43.755,42.972,41.356,38.956,39.23,40.655,40.373,39.84,38.086
43.532,44.142,43.333,42.865,43.709,44.333,44.061,44.152,44.673,44.207,43.447,43.814,44.544,44.968,45.338,46.463,47.504,47.669,46.999,45.445,46.105,48.047,46.86,44.257,43.376,43.482,44.378,46.138,46.504,45.001,43.616,42.785,44.03,45.944,45.47,44.677,45.414,46.414,45.912,45.424,45.711,45.506,44.793,45.039,45.869,46.283,46.393,45.09,45.367,48.774,50.721,50.713,47.382,41.789,41.448,44.109,44.347,43.607,42.297,40.408,40.569,41.446,41.33,40.426,38.645
